user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
repdavidscott,official,GA,d,House Representative,David,Scott,"",""
petestark,official,CA,d,House Representative,Pete,Stark,,
RepSeanDuffy,official,WI,r,House Representative,Sean,Duffy,,
JohnKerry,official,MA,d,Senator,John,Kerry,"",""
RepPaulTonko,official,NY,d,House Representative,Paul,Tonko,"",""
CongressmanDan,official,MI,r,House Representative,Dan,Benishek,"",""
RepReneeEllmers,official,NC,r,House Representative,Renee,Ellmers,"",""
eltongallegly24,official,CA,r,House Representative,Elton,Gallegly,,
BennieGThompson,official,MS,d,House Representative,Bennie,Thompson,"",""
RepJohnYarmuth,official,KY,d,House Representative,John,Yarmuth,,
ChrisVanHollen,official,MD,d,Senator,Chris,van Hollen,"",""
MarlinStutzman,campaign,IN,r,House Representative,Marlin,Stutzman,"",""
OrrinHatch,campaign,UT,r,Senator,Orrin,Hatch,"",""
RepMikeMcIntyre,official,NC,d,House Representative,Mike,McIntyre,"",""
RepConnieMack,official,FL,r,House Representative,Connie,Mack,"",""
LorettaSanchez,official,CA,d,House Representative,Loretta,Sanchez,"",""
SenSchumer,official,NY,d,Senator,Chuck,Schumer,"",""
CongJeffMiller,official,FL,r,House Representative,Jeff,Miller,"",""
justinamash,official,MI,r,House Representative,Justin,Amash,"",""
GovPenceIN,official,IN,r,Governor,Mike,Pence,"",""
Randy_Forbes,official,VA,r,House Representative,Randy,Forbes,"",""
RepCardoza,official,CA,d,House Representative,Dennis,Cardoza,,
TomRooney,official,FL,r,House Representative,Tom,Rooney,,
aaronschock,campaign,IL,r,House Representative,Aaron,Schock,"",""
RepRobertHurt,official,VA,r,House Representative,Robert,Hurt,,
PaulBrounMD,official,GA,r,House Representative,Paul,Broun,"",""
SilvestreReyes,official,TX,d,House Representative,Silvestre,Reyes,"",""
SenCapito,official,WV,r,Senator,Shelley,Capito,"",""
larsenrick,campaign,WA,d,House Representative,Rick,Larsen,"",""
mikepompeo,campaign,KS,r,House Representative,Mike,Pompeo,"",""
SenatorHagan,official,NC,d,Senator,Kay,Hagan,"",""
RepJoBonner,official,AL,r,House Representative,Jo,Bonner,"",""
JoeLieberman,official,CT,i,Senator,Joe,Lieberman,,
RepMcKinley,official,WV,r,House Representative,David,McKinley,B.,""
RepTimRyan,official,OH,d,House Representative,Tim,Ryan,,
SenJohnsonSD,official,SD,d,Senator,Tim,Johnson,"",""
clairecmc,campaign,MO,d,Senator,Claire,McCaskill,"",""
RandPaul,official,KY,r,Senator,Rand,Paul,"",""
RepMarkCritz,official,PA,d,House Representative,Mark,Critz,,
SpeakerRyan,official,WI,r,House Representative,Paul,Ryan,,
MacTXPress,official,TX,r,House Representative,Mac,Thornberry,"",""
TomLatham,official,IA,r,House Representative,Tom,Latham,"",""
repjohnkline,official,MN,r,House Representative,John,Kline,"",""
RepVisclosky,official,IN,d,House Representative,Pete,Visclosky,,
michaelcburgess,official,TX,r,House Representative,Michael,Burgess,C.,M.D.
RepTimJohnson,official,IL,r,House Representative,Tim,Johnson,,
sunlightwoops,,,x,,Sunlight,Foundation,,
cainpress,campaign,GA,r,Presidential Candidate,Herman,Cain,,
Newt2012HQ,campaign,GA,r,Presidential Candidate,Newt,Gingrich,,
TimPawlenty,campaign,,r,Presidential Candidate,Tim,Pawlenty,,
GovGaryJohnson,campaign,,r,Presidential Candidate,Gary,Johnson,,
newtgingrich,campaign,GA,r,Presidential Candidate,Newt,Gingrich,,
TeamBachmann,campaign,MN,r,House Representative,Michele,Bachmann,"",""
vernwuensche,campaign,"",r,Presidential Candidate,Vern,Wuensche,"",""
BuddyRoemer,campaign,CA,r,Presidential Candidate,Buddy,Roemer,,
PerryTruthTeam,campaign,TX,r,Governor,Rick,Perry,"",""
RonPaul,campaign,TX,r,House Representative,Ron,Paul,"",""
